,Address - From Geocoder,Company_Name,Date_Added,File_List,Geocode Score,Header,Latitude,Longitude,Match Score,Query,Text
0,"1201 Eddy St, Providence, RI",LAIRD DE VOU INC Abrasive 8; Cutting Specialists,2018-05-02,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_2.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_3.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_4.png']",100.0,ABRASIVE MATERIALS,41.7925752431,-71.4038506575,100.0,1201 EDDY ST PROVIDENCE,LAIRD DE VOU INC Abrasive 8; Cutting Specialists 1201 Eddy St (02905) Tel 781-6282
0,"16 E River St, Providence, RI",Michigan Abrasive Co,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_5.png'],100.0,ABRASIVE MATERIALS,41.8278981859,-71.3814154655,100.0,16 E RIVER ST PROVIDENCE,Michigan Abrasive Co 16 East River St
0,"1201 Eddy St, Providence, RI",Laird De Vou Inc,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_7.png'],100.0,ABRASIVES-MFRS,41.7925752431,-71.4038506575,100.0,1201 EDDY ST PROVIDENCE,Laird De Vou Inc 1201 Eddy St
0,"325 Waterman St, Providence, RI",Michigan Abrasive Co (Grinding Wheel Div),2018-05-02,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_8.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_9.png']",100.0,ABRASIVES-MFRS,41.8275271993,-71.3828752628,100.0,325 WATERMAN ST PROVIDENCE,Michigan Abrasive Co (Grinding Wheel Div) 325 Waterman St
0,"85 Westminster St, Providence, RI",Home Owners Title Guarantee Co,2018-05-02,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_11.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_12.png']",100.0,ABSTRACTS OF TITLE,41.8246376826,-71.4103355895,100.0,85 WESTMINSTER ST PROVIDENCE,Home Owners Title Guarantee Co 85 Westminster St Rm 200
0,"354 Broadway, Providence, RI",Accinno John J,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_15.png'],89.04,ACCOUNTANTS-CERTIFIED PUBLIC,41.8197226252,-71.429485564,92.0,354 BROADWAY ST PROVIDENCE,Accinno John J 354 Broadway
0,"111 Westminster St, Providence, RI",Allegretti & Co,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_16.png'],100.0,ACCOUNTANTS-CERTIFIED PUBLIC,41.8243414414,-71.4107398174,100.0,111 WESTMINSTER ST PROVIDENCE,Allegretti & Co 111 Westminster St Rm 630
0,"2 Thomas St, Providence, RI",Andreoni & Co,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_17.png'],100.0,ACCOUNTANTS-CERTIFIED PUBLIC,41.8275323934,-71.4090520433,100.0,2 THOMAS ST PROVIDENCE,Andreoni & Co 2 Thomas St
0,"111 Westminster St, Providence, RI",Blackman & Blackma,2018-05-02,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_18.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_19.png']",100.0,ACCOUNTANTS-CERTIFIED PUBLIC,41.8243414414,-71.4107398174,100.0,111 WESTMINSTER ST PROVIDENCE,Blackman & Blackman 111 Westminster St Rm 1209
0,"170 Westminster St, Providence, RI",Campana Philip J,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_20.png'],100.0,ACCOUNTANTS-CERTIFIED PUBLIC,41.8236835378,-71.4114619757,100.0,170 WESTMINSTER ST PROVIDENCE,Campana Philip J 170 Westminster St Rm 300
0,"111 Westminster St, Providence, RI",Christiansen & Co 533 Industrial Bank Bldg,2018-05-02,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_23.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_24.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_25.png']",100.0,ACCOUNTANTS-CERTIFIED PUBLIC,41.8243414414,-71.4107398174,100.0,111 WESTMINSTER ST PROVIDENCE,"Christiansen & Co 533 Industrial Bank Bldg 111 Westminster St (02903), Tel (401) 751- 7511"
0,"198 Dyer St, Providence, RI",Connor Ralph J,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_27.png'],100.0,ACCOUNTANTS-CERTIFIED PUBLIC,41.8217653072,-71.4081342354,100.0,198 DYER ST PROVIDENCE,Connor Ralph J 198 Dyer St Rm 215
0,"245 Waterman St, Providence, RI",Levesque Colucci & Co,2018-05-02,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_35.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_36.png']",100.0,ACCOUNTANTS-CERTIFIED PUBLIC,41.8283147521,-71.3870279994,100.0,245 WATERMAN ST PROVIDENCE,Levesque Colucci & Co 245 Waterman St Rm 403
0,"111 Westminster St, Providence, RI",Markoff Eli,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_37.png'],100.0,ACCOUNTANTS-CERTIFIED PUBLIC,41.8243414414,-71.4107398174,100.0,111 WESTMINSTER ST PROVIDENCE,Markoff Eli 111 Westminster St Rm 1915
0,"34 Brinkley St, Providence, RI",Martone Robt,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_38.png'],100.0,ACCOUNTANTS-CERTIFIED PUBLIC,41.8320934566,-71.4615453822,100.0,34 BRINKLEY ST PROVIDENCE,Martone Robt 34 Brinkley St
0,"111 Westminster St, Providence, RI",O'Brien E L & Co,2018-05-02,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_39.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_40.png']",100.0,ACCOUNTANTS-CERTIFIED PUBLIC,41.8243414414,-71.4107398174,100.0,111 WESTMINSTER ST PROVIDENCE,O'Brien E L & Co 111 Westminster St Rm 2002
0,"472 Smith St, Providence, RI",Selinker Solomon E,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_8.png'],100.0,CONTD,41.8356187343,-71.4267589394,100.0,472 SMITH ST PROVIDENCE,Selinker Solomon E 472 Smith St
0,"60 Broadway, Providence, RI",Villatico Guy,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_13.png'],89.04,CONTD,41.8223471431,-71.4186252179,90.0,60 BROADWAY ST PROVIDENCE,Villatico Guy 60 Broadway Suite G
0,"111 Westminster St, Providence, RI",Ward Fisher & Co,2018-05-02,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_14.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_15.png']",100.0,CONTD,41.8243414414,-71.4107398174,100.0,111 WESTMINSTER ST PROVIDENCE,Ward Fisher & Co 111 Westminster St Rm 510
0,"111 Westminster St, Providence, RI",Young Arthur & Company,2018-05-02,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_16.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_17.png']",100.0,CONTD,41.8243414414,-71.4107398174,100.0,111 WESTMINSTER ST PROVIDENCE,"Young Arthur & Company 111 Westminster St (02903), Tel 274-1800"
0,"76 Westminster St, Providence, RI",Allen David,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_19.png'],100.0,ACCOUNTANTS-PUBLIC,41.8246366352,-71.4101271767,100.0,76 WESTMINSTER ST PROVIDENCE,Allen David 76 Westminster St Rm 1105
0,"34 Pontiac Ave, Providence, RI",Ambrif'x & Assoc,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_20.png'],100.0,ACCOUNTANTS-PUBLIC,41.7875719871,-71.4314244124,100.0,34 PONTIAC AVE PROVIDENCE,Ambrif'x & Assoc 34 Pontiac Av Rm 1
0,"547 Mt Pleasant Ave, Providence, RI",Ayers Earl,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_21.png'],100.0,ACCOUNTANTS-PUBLIC,41.8411771963,-71.452416087,95.0,547 MOUNT PLEASANT AVE PROVIDENCE,Ayers Earl 547 Mt Pleasant Av
0,"703 Fruit Hill Ave, North Providence, RI",Barone Norman A,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_22.png'],100.0,ACCOUNTANTS-PUBLIC,41.8597101347,-71.4632124863,100.0,703 FRUIT HILL AVE NORTH PROVIDENCE,Barone Norman A 703 Fruit Hill Av (N Prov)
0,"270 Cole Ave, Providence, RI",Bergman Paul,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_23.png'],100.0,ACCOUNTANTS-PUBLIC,41.8416841998,-71.3891804527,100.0,270 COLE AVE PROVIDENCE,Bergman Paul 270 Cole Av
0,"1051 Broad St, Providence, RI",Blake Harvey Accounting,2018-05-02,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_24.png'],100.0,ACCOUNTANTS-PUBLIC,41.7962286033,-71.4123039554,100.0,1051 BROAD ST PROVIDENCE,Blake Harvey Accounting 1051 Broad St
