,Address - From Geocoder,Company_Name,Date_Added,File_List,Geocode Score,Header,Latitude,Longitude,Match Score,Query,Text
0,"325 Waterman St, Providence, RI",AMERICAN EMERY WHEEL WORKS,2019-03-22,"['cd1943/entry/1943_Page_1073 (1)_2.png', 'cd1943/entry/1943_Page_1073 (1)_3.png', 'cd1943/entry/1943_Page_1073 (1)_4.png', 'cd1943/entry/1943_Page_1073 (1)_5.png']",100.0,AbrasivesGrain & Wheels,41.82752719926306,-71.38287526279669,100.0,325 WATERMAN ST PROVIDENCE,AMERICAN EMERY WHEEL WORKS 325 Waterman at Richmond sq tel PL 2260-2261For further informa- tion see page 77 Buyers Guide
1,"85 Westminster St, Providence, RI",MORTGAGE GUARANTEE & TITLE CO,2019-03-22,"['cd1943/entry/1943_Page_1073 (1)_10.png', 'cd1943/entry/1943_Page_1073 (1)_11.png', 'cd1943/entry/1943_Page_1073 (1)_12.png']",100.0,Abstracts of Title,41.82463768263685,-71.41033558953653,100.0,85 WESTMINSTER ST PROVIDENCE,MORTGAGE GUARANTEE & TITLE CO 85 Westminster tel Gaspee 3352 For further information see page
2,"111 Westminster St, Providence, RI",Buyers Guide and bottom edge REAL ESTATE TITLE INSURANCE COMPANY OF PROVIDENCE,2019-03-22,"['cd1943/entry/1943_Page_1073 (1)_13.png', 'cd1943/entry/1943_Page_1073 (1)_14.png', 'cd1943/entry/1943_Page_1073 (1)_15.png', 'cd1943/entry/1943_Page_1073 (1)_16.png', 'cd1943/entry/1943_Page_1073 (1)_17.png', 'cd1943/entry/1943_Page_1073 (1)_18.png']",100.0,Abstracts of Title,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,"91 Buyers Guide and bottom edge\nREAL ESTATE TITLE INSURANCE COMPANY OF PROVIDENCE 2010 Industrial Trust bldg 111 Westmins- ter tel GAspee 9555-For further in- formation see page 89 Buyers Guide, back bone and right top lines"
3,"146 Westminster St, Providence, RI",BUDLONG SYLVESTER M AGENCY,2019-03-22,"['cd1943/entry/1943_Page_1073 (1)_23.png', 'cd1943/entry/1943_Page_1073 (1)_24.png', 'cd1943/entry/1943_Page_1073 (1)_25.png', 'cd1943/entry/1943_Page_1073 (1)_26.png']",100.0,"*Academies (See Schools, Colleges & Academies) Accident Insurance",41.82394485502904,-71.41107555435269,100.0,146 WESTMINSTER ST PROVIDENCE,BUDLONG SYLVESTER M AGENCY\n146 Westminster rm 401 tel DExter 0500For further information see page 52 Buyers Guide and front cover
4,"29 Weybosset St, Providence, RI",NEWCOMB C F Inc,2019-03-22,"['cd1943/entry/1943_Page_1073 (1)_27.png', 'cd1943/entry/1943_Page_1073 (1)_28.png', 'cd1943/entry/1943_Page_1073 (1)_29.png']",100.0,"*Academies (See Schools, Colleges & Academies) Accident Insurance",41.824341975974306,-71.40977601788771,100.0,29 WEYBOSSET ST PROVIDENCE,NEWCOMB C F Inc 29 Weybosset rm 20 tel GA 7521For further informa- tion see page 59 Buyers Guide
5,"111 Westminster St, Providence, RI",BLANCHARD ORGANIZATION The,2019-03-22,"['cd1943/entry/1943_Page_1073 (2)_2.png', 'cd1943/entry/1943_Page_1073 (2)_3.png', 'cd1943/entry/1943_Page_1073 (2)_4.png', 'cd1943/entry/1943_Page_1073 (2)_5.png', 'cd1943/entry/1943_Page_1073 (2)_6.png']",100.0,Accident & Health Insurance,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,BLANCHARD ORGANIZATION The 405 Industrial Trust bldg 111 West- minster tel Gaspee 2059-For further information see page 50 Buyers Guide and back cover
6,"111 Westminster St, Providence, RI",HASKINS & SELLS,2019-03-22,"['cd1943/entry/1943_Page_1073 (2)_8.png', 'cd1943/entry/1943_Page_1073 (2)_9.png', 'cd1943/entry/1943_Page_1073 (2)_10.png']",100.0,* AccountantsCertified Public,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,HASKINS & SELLS 2504 Industrial Trust bldg 111 Westminster tel Gas- pee 8336
7,"111 Westminster St, Providence, RI","WARD, FISHER & CO",2019-03-22,"['cd1943/entry/1943_Page_1073 (2)_11.png', 'cd1943/entry/1943_Page_1073 (2)_12.png', 'cd1943/entry/1943_Page_1073 (2)_13.png']",100.0,* AccountantsCertified Public,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,"WARD, FISHER & CO 2400 Industrial Trust bldg 111 Westminster tel Gas- pee 5768"
8,HARDCODE,OVER SPENCER H,2019-03-22,"['cd1943/entry/1943_Page_1073 (2)_15.png', 'cd1943/entry/1943_Page_1073 (2)_16.png']",100.0,* AccountantsCertified Public,41.825363,-71.40946,100.0,15 WESTMINSTER ST PROVIDENCE,OVER SPENCER H 506 Hospital Trust bldg 15 Westminster tel GA 5232
9,"17 Exchange St, Providence, RI",Adler Louis,2019-03-22,['cd1943/entry/1943_Page_1073 (2)_19.png'],100.0,Accountants & Auditors,41.82532999487296,-71.41059768489507,100.0,17 EXCHANGE ST PROVIDENCE,Adler Louis 17 Exchange rm 311
